This can probably be deleted, but here were the missing solution records
from the bug in solution uploading that existed Dec 12 - April 3 2021,
in case the lengths, dates, or hashes end up being useful for something?

+-------+------+--------------+--------+--------------+------+-------------+----------------------------------+------------+
| id    | of   | name         | author | moves        | len  | speedrecord | md5                              | date       |
| 13422 |  480 | Speed Record | noname | NULL         |  293 | t           | b454d42bfbaa909d960cd52989da72d0 | 1615467632 |
| 13425 | 2091 | Speed Record | noname | NULL         |  287 | t           | 46d1c3f831817c1fac7316eebe8fdd4b | 1615467873 |
| 13423 | 2192 | Speed Record | noname | NULL         |  323 | t           | 06ffe9b633b4a07371cacac08bd3a759 | 1615467709 |
| 13461 | 2826 | Speedrun     | Matt   | NULL         |   50 | t           | 46e7f7fb3853e08c068fb0ecad3485de | 1615669587 |
| 13446 |  997 | Speed Record | noname | NULL         |  832 | t           | 542406d1a86efd355d57ccff19460d51 | 1615471305 |
| 13419 | 2277 | Speed Record | noname | NULL         |  111 | t           | c6540bb7deac751df783f5283fd7782e | 1615467507 |
| 13400 | 2487 | Speed Record | noname | NULL         |  472 | t           | 4bcca564120a2b3f099cdd5b8d9d4707 | 1607781397 |
| 13401 | 1816 | Speed Record | noname | NULL         |  304 | t           | da0ce631ebdfaa6dd90528e64a153c91 | 1607782146 |
| 13447 |  880 | Speed Record | noname | NULL         |  104 | t           | 7ae020a5c30d403f457e4dc7af830cc9 | 1615476272 |
| 13438 | 1250 | Speed Record | noname | NULL         |  338 | t           | b0a5dd5fce4b31319b37a1fc9f601b3f | 1615469855 |
| 13432 | 1540 | Speed Record | noname | NULL         |  660 | t           | cd728d5e6770ba33993fa53278929ac0 | 1615468472 |
| 13462 | 3089 | Speedrun     | Matt   | NULL         |   46 | t           | 5f2fbc01e9dffc514d2d1678a212f141 | 1615669599 |
| 13465 | 3978 | Speedrun     | Matt   | NULL         |   38 | t           | 82c7363540ab319f71694c0fc39a2ec0 | 1615669848 |
| 13466 | 3814 | Speedrun     | Matt   | NULL         |   70 | t           | cf75b72977fcd59c31f669a1a810bfc0 | 1615669860 |
| 13420 | 2247 | Speed Record | noname | NULL         |  105 | t           | 7b2a64a4f6e304e3906f1ad116e58c15 | 1615467581 |
| 13440 | 1199 | Speed Record | noname | NULL         |  376 | t           | 8ced0f6e3b10a1da55cc1f285c00489b | 1615470293 |
| 13463 | 1505 | Speedrun     | Matt   | NULL         |   33 | t           | fabd0cb108a6160e231948c2c63f5067 | 1615669607 |
| 13471 | 3082 | Speedrun     | Matt   | NULL         |   40 | t           | 3505ce0640381a02579264fca33eca23 | 1615669936 |
| 13426 | 2071 | Speed Record | noname | NULL         |  286 | t           | 92c33e668d5b5b7f7afdfab4e9d58562 | 1615467903 |
| 13421 | 2238 | Speed Record | noname | NULL         |  293 | t           | ee7eb40e1b6fa5950c5d6213caf5941e | 1615467594 |
| 13405 | 1588 | Speed Record | noname | NULL         |  310 | t           | 87fbc2535356e417bbc9f1d83322c240 | 1615465079 |
| 13404 | 3261 | Speed Record | noname | NULL         |  123 | t           | 519c498d9ec750f8c35dff8d41b49b93 | 1607784629 |
| 13403 | 2214 | Speed Record | noname | NULL         |   67 | t           | f8f1e1aa5a9afd67153808978c44322b | 1607784521 |
| 13454 |  433 | Speed Record | noname | NULL         |  380 | t           | da87fd35b61bc012ea08acad0cd5f9fa | 1615480312 |
| 13444 | 1152 | Speed Record | noname | NULL         |  128 | t           | 68eacdfe52459c890983272e89303ee2 | 1615471086 |
| 13468 | 3871 | Speedrun     | Matt   | NULL         | 1482 | t           | 58572581283c5fb109203e9b31d26512 | 1615669891 |
| 13469 | 3864 | Speedrun     | Matt   | NULL         |  467 | t           | 866c958ff0cb510a0712e05a79d919a2 | 1615669904 |
| 13470 | 3098 | Speedrun     | Matt   | NULL         |  606 | t           | 03667560099b6c470259d6adac7d9b51 | 1615669926 |
| 13467 | 3717 | Speedrun     | Matt   | NULL         |  294 | t           | 8f06623aa572775173039fa5a88b7983 | 1615669875 |
| 13396 | 4144 | Optimal      | noname | NULL         |   34 | t           | 9bde08c955253be9061e34e47c83cb68 | 1607780652 |
| 13397 |  893 | Optimal      | noname | NULL         |   74 | t           | bce640e98c1b3bfd15e5f7e647ffbe6f | 1607780833 |
+-------+------+--------------+--------+--------------+------+-------------+----------------------------------+------------+
